dates,durations
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,0.0
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,0.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-13,0.0
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,0.0
2019-09-17,0.0
2019-09-18,0.25
2019-09-19,0.0
2019-09-20,0.0
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,0.0
2019-09-28,0.0
2019-09-29,0.0
2019-09-30,0.0
2019-10-01,0.0
2019-10-02,0.0
2019-10-03,0.0
2019-10-04,0.0
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,1.65
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.25
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,0.0
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,0.0
2019-10-22,0.6666666666666666
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,0.0
2019-10-26,0.0
2019-10-27,0.5
2019-10-28,0.0
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,1.6
2019-11-01,1.8
2019-11-02,0.0
2019-11-03,0.0
2019-11-04,0.2166666666666666
2019-11-05,0.0
2019-11-06,2.6333333333333333
2019-11-07,2.55
2019-11-08,0.0
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,0.5
2019-11-12,5.85
2019-11-13,4.083333333333333
2019-11-14,5.75
2019-11-15,5.633333333333334
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,1.8333333333333333
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,0.0
2019-11-30,1.25
2019-12-01,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.7833333333333333
2019-12-05,0.0
2019-12-06,0.0
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.25
2019-12-13,0.0
2019-12-14,0.0
2019-12-15,0.0
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,1.8
2019-12-21,3.1666666666666665
2019-12-22,3.866666666666666
2019-12-23,0.7333333333333333
2019-12-24,2.1166666666666667
2019-12-25,0.0
2019-12-26,2.1333333333333333
2019-12-27,0.0
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,3.283333333333333
2019-12-31,5.333333333333333
2020-01-01,0.0
2020-01-02,3.2333333333333334
2020-01-03,4.866666666666666
2020-01-04,0.5
2020-01-05,0.4166666666666667
2020-01-06,1.55
2020-01-07,4.016666666666667
2020-01-08,6.666666666666668
2020-01-09,4.85
2020-01-10,10.583333333333334
2020-01-11,5.833333333333332
2020-01-12,1.0
2020-01-13,3.8333333333333335
2020-01-14,8.933333333333334
2020-01-15,1.85
2020-01-16,4.366666666666666
2020-01-17,7.016666666666668
2020-01-18,1.6166666666666667
2020-01-19,0.0
2020-01-20,2.466666666666667
